NoiseType,MMSE,SignalPower
brown,0.0,0.28900000000000003
multi_tone,0.0,0.519
impulse_spikes,0.0,0.4750000000000001
white,0.0,0.49800000000000005
pink,0.0,0.514
brown,0.1,0.42699999999999994
multi_tone,0.2,0.35700000000000004
impulse_spikes,0.1,0.45999999999999996
white,0.0,0.45600000000000007
pink,0.0,0.496
brown,0.4,0.12200000000000003
multi_tone,0.1,0.42400000000000004
impulse_spikes,0.1,0.39799999999999996
white,0.0,0.503
pink,0.1,0.45100000000000007
brown,0.0,0.47400000000000003
multi_tone,0.0,0.507
impulse_spikes,0.0,0.4490000000000001
white,0.0,0.4700000000000001
pink,0.0,0.511
brown,0.0,0.4830000000000001
multi_tone,0.0,0.518
impulse_spikes,0.1,0.421
white,0.0,0.539
pink,0.0,0.4960000000000001
brown,0.0,0.524
multi_tone,0.0,0.41900000000000004
impulse_spikes,0.0,0.485
white,0.0,0.4600000000000001
pink,0.0,0.4720000000000001
brown,0.0,0.495
multi_tone,0.0,0.487
impulse_spikes,0.1,0.4539999999999999
white,0.1,0.43000000000000005
pink,0.0,0.48900000000000005
brown,0.2,0.342
multi_tone,0.0,0.48100000000000004
impulse_spikes,0.1,0.43100000000000005
white,0.0,0.508
pink,0.0,0.4820000000000001
brown,0.0,0.49800000000000005
multi_tone,0.1,0.44800000000000006
impulse_spikes,0.0,0.504
white,0.0,0.4960000000000001
pink,0.0,0.53
brown,0.0,0.4670000000000001
multi_tone,0.0,0.519
impulse_spikes,0.1,0.40700000000000003
white,0.0,0.518
pink,0.0,0.48900000000000005
brown,0.0,0.4710000000000001
multi_tone,0.1,0.40099999999999997
impulse_spikes,0.0,0.48100000000000004
white,0.0,0.4600000000000001
pink,0.0,0.518
brown,0.0,0.49400000000000005
multi_tone,0.0,0.5
impulse_spikes,0.0,0.44700000000000006
white,0.0,0.491
pink,0.0,0.43599999999999994
brown,0.0,0.499
multi_tone,0.1,0.44800000000000006
impulse_spikes,0.0,0.49400000000000005
white,0.0,0.466
pink,0.0,0.49800000000000005
brown,0.0,0.503
multi_tone,0.0,0.501
impulse_spikes,0.1,0.392
white,0.0,0.488
pink,0.0,0.5080000000000001
brown,0.0,0.5040000000000001
multi_tone,0.1,0.453
impulse_spikes,0.0,0.49400000000000005
white,0.0,0.4780000000000001
pink,0.0,0.5
brown,0.0,0.47700000000000004
multi_tone,0.0,0.503
impulse_spikes,0.0,0.465
white,0.0,0.5090000000000001
pink,0.0,0.4920000000000001
brown,0.0,0.479
multi_tone,0.1,0.377
impulse_spikes,0.1,0.372
white,0.0,0.51
pink,0.0,0.466
brown,0.0,0.4870000000000001
multi_tone,0.0,0.518
impulse_spikes,0.0,0.44699999999999995
white,0.1,0.42400000000000004
pink,0.0,0.4780000000000001
brown,0.0,0.4790000000000001
multi_tone,0.0,0.4960000000000001
impulse_spikes,0.1,0.358
white,0.0,0.47400000000000003
pink,0.0,0.45
brown,0.0,0.5070000000000001
multi_tone,0.0,0.4820000000000001
impulse_spikes,0.1,0.40700000000000003
white,0.0,0.5090000000000001
pink,0.0,0.44800000000000006
brown,0.0,0.48900000000000016
multi_tone,0.1,0.45600000000000007
impulse_spikes,0.0,0.47300000000000003
white,0.1,0.4370000000000001
pink,0.0,0.487
brown,0.0,0.499
multi_tone,0.1,0.38699999999999996
